bin,d_lo,d_hi,n,gamma_alpha,gamma_rate,gamma_ll,exp_rate,exp_ll,gamma_minus_exp_ll
0,1.0960,1.1793,64232,9.5068,52.5054,1.4520,5.52291,0.7089,0.7431
1,1.1793,1.2164,64278,9.7251,42.5056,1.2285,4.37071,0.4749,0.7536
2,1.2164,1.2462,64226,9.1849,35.2786,1.0728,3.84092,0.3457,0.7271
3,1.2462,1.2710,64234,8.6931,29.7369,0.9316,3.42075,0.2299,0.7018
4,1.2710,1.2913,64272,8.0995,24.9752,0.7955,3.08356,0.1261,0.6694
5,1.2913,1.3097,64259,7.9842,22.9251,0.7176,2.87133,0.0548,0.6629
6,1.3097,1.3288,64190,7.7994,21.7119,0.6760,2.78378,0.0238,0.6522
7,1.3288,1.3484,64243,7.9279,20.9842,0.6330,2.64688,-0.0266,0.6596
8,1.3484,1.3697,64244,3.2608,7.50505,0.1159,2.30157,-0.1664,0.2824
9,1.3697,1.3924,64307,6.1187,14.4063,0.3998,2.35448,-0.1437,0.5435
10,1.3924,1.4165,64195,8.5690,19.6269,0.5239,2.29046,-0.1712,0.6952
11,1.4165,1.4427,64238,8.7934,19.0746,0.4814,2.16918,-0.2257,0.7071
12,1.4427,1.4719,64254,9.0503,18.6546,0.4436,2.06121,-0.2767,0.7203
13,1.4719,1.5042,64262,9.2235,17.8911,0.3916,1.93973,-0.3374,0.7291
14,1.5042,1.5421,64249,9.8987,18.2736,0.3748,1.84605,-0.3870,0.7618
15,1.5421,1.5782,64238,10.0862,16.9214,0.2879,1.67768,-0.4826,0.7705
16,1.5782,1.6176,64279,10.7038,16.8114,0.2497,1.5706,-0.5485,0.7982
17,1.6176,1.6606,64277,10.9820,16.0497,0.1897,1.46146,-0.6206,0.8102
18,1.6606,1.7091,64177,11.1652,15.0776,0.1184,1.35041,-0.6996,0.8180
19,1.7091,1.7643,64194,11.6149,14.508,0.0589,1.24909,-0.7776,0.8365
20,1.7643,1.8274,64303,12.0189,13.542,-0.0281,1.12672,-0.8807,0.8526
21,1.8274,1.9026,64193,12.3176,12.1721,-0.1477,0.988194,-1.0119,0.8642
22,1.9026,1.9927,64277,12.1226,10.2482,-0.3113,0.845375,-1.1680,0.8567
23,1.9927,2.1159,64222,11.8371,8.35462,-0.5030,0.705799,-1.3484,0.8454
24,2.1159,2.2470,64286,12.5007,7.68989,-0.6147,0.615155,-1.4859,0.8712
25,2.2470,2.4163,64295,11.6252,6.60065,-0.7291,0.56779,-1.5660,0.8369
26,2.4163,2.6528,64110,11.6856,6.13207,-0.8054,0.524753,-1.6448,0.8394
27,2.6528,3.0259,64211,10.4945,4.65397,-1.0241,0.443468,-1.8131,0.7890
28,3.0259,3.9062,64314,7.2589,2.30579,-1.5271,0.31765,-2.1468,0.6197
29,3.9062,79.4244,64182,4.8648,1.60387,-1.6654,0.329687,-2.1096,0.4442
