bin,d_lo,d_hi,n,gamma_alpha,gamma_rate,gamma_ll,exp_rate,exp_ll,gamma_minus_exp_ll,moment_ratio
0,1.0960,1.1793,43564,1.1304,0.203018,-2.7125,0.179592,-2.7171,0.0046,1.8986
1,1.1793,1.2164,47546,1.1210,0.153037,-2.9873,0.136523,-2.9913,0.0040,1.9255
2,1.2164,1.2462,49786,1.1073,0.127161,-3.1610,0.114841,-3.1642,0.0032,2.0150
3,1.2462,1.2710,50791,1.0773,0.111448,-3.2669,0.103452,-3.2686,0.0017,2.0598
4,1.2710,1.2913,52259,1.0659,0.0973979,-3.3915,0.0913757,-3.3928,0.0013,2.0911
5,1.2913,1.3097,53283,1.0409,0.0822691,-3.5374,0.0790334,-3.5379,0.0005,2.1192
6,1.3097,1.3288,53842,1.0122,0.0753813,-3.5973,0.0744694,-3.5974,0.0000,2.2143
7,1.3288,1.3484,54903,0.9900,0.064314,-3.7338,0.0649669,-3.7339,0.0000,2.3317
8,1.3484,1.3697,55770,0.5394,0.017846,-4.2435,0.0330865,-4.4086,0.1651,1236.6162
9,1.3697,1.3924,56052,0.9711,0.0508826,-3.9486,0.0523976,-3.9489,0.0003,2.4196
10,1.3924,1.4165,57184,0.9436,0.0420045,-4.1108,0.0445137,-4.1120,0.0011,2.5561
11,1.4165,1.4427,58451,0.9586,0.036765,-4.2603,0.0383532,-4.2609,0.0006,2.7242
12,1.4427,1.4719,59161,0.9576,0.0316375,-4.4095,0.0330384,-4.4101,0.0006,2.8755
13,1.4719,1.5042,60253,0.9370,0.0245959,-4.6387,0.0262495,-4.6401,0.0014,2.5103
14,1.5042,1.5421,60797,0.8788,0.0186617,-4.8464,0.0212342,-4.8521,0.0057,2.9287
15,1.5421,1.5782,61289,0.9303,0.0180587,-4.9401,0.019412,-4.9419,0.0017,2.5543
16,1.5782,1.6176,61857,0.9182,0.0134584,-5.2204,0.0146572,-5.2228,0.0024,2.6321
17,1.6176,1.6606,62054,0.8727,0.0103219,-5.4310,0.0118272,-5.4374,0.0064,2.6224
18,1.6606,1.7091,62261,0.8469,0.00826922,-5.6194,0.00976466,-5.6290,0.0096,2.8734
19,1.7091,1.7643,62939,0.8519,0.0065889,-5.8532,0.00773438,-5.8621,0.0089,3.2916
20,1.7643,1.8274,63087,0.8212,0.00491928,-6.1039,0.00599021,-6.1176,0.0137,3.2528
21,1.8274,1.9026,63419,0.8078,0.00333119,-6.4747,0.00412398,-6.4909,0.0162,3.2455
22,1.9026,1.9927,63791,0.8176,0.00223241,-6.8889,0.0027306,-6.9032,0.0144,3.5329
23,1.9927,2.1159,63854,0.7965,0.00139345,-7.3298,0.00174957,-7.3484,0.0186,3.8357
24,2.1159,2.2470,64055,0.8088,0.00102715,-7.6528,0.00126997,-7.6688,0.0160,3.0043
25,2.2470,2.4163,64061,0.7879,0.000687017,-8.0244,0.000871919,-8.0448,0.0205,3.1203
26,2.4163,2.6528,64040,0.8137,0.000549351,-8.2855,0.000675168,-8.3005,0.0151,3.2832
27,2.6528,3.0259,64163,0.7373,0.000290123,-8.8060,0.000393473,-8.8405,0.0345,3.7853
28,3.0259,3.9062,64279,0.6963,9.77118e-05,-9.8214,0.000140339,-9.8715,0.0501,4.0269
29,3.9062,79.4244,64226,0.6903,4.4326e-05,-10.6007,6.42082e-05,-10.6534,0.0527,3.2825
