sbgrid_id,category,phasing_method,pdb_ids,wavelength,starting_model,type,title
3,anomalous,SIRAS,3TRZ,1,,X-Ray Diffraction,"X-Ray Diffraction data from Lin28/let-7d microRNA complex, source of 3TRZ structure"
4,anomalous,SIRAS,3TRZ,1,,X-Ray Diffraction,"X-Ray Diffraction data from Lin28/let-7d microRNA complex, source of 3TRZ structure"
10,anomalous,SAD,4FHL,0.9792,,X-Ray Diffraction,"X-Ray Diffraction data from Nucleoporin Nup37 from Schizosaccharomyces pombe, source of 4FHL structure"
11,anomalous,SAD,4FHL,0.9792,,X-Ray Diffraction,"X-Ray Diffraction data from Nucleoporin Nup37 from Schizosaccharomyces pombe, source of 4FHL structure"
14,anomalous,MAD,2NYJ,"1.5418, 0.97907, 0.97922, 0.99298",,X-Ray Diffraction,"X-Ray Diffraction data from TRPV1-ARD, source of 2NYJ structure"
16,anomalous,SAD,4TRK,0.97918,,X-Ray Diffraction,"X-Ray Diffraction data from C. elegans HIM-3, source of 4TRK structure"
17,anomalous,SAD,4TRK,0.97918,,X-Ray Diffraction,"X-Ray Diffraction data from C. elegans HIM-3 SeMet, source of 4TRK structure"
20,anomalous,SAD,4XGU,0.9795,,X-Ray Diffraction,"X-Ray Diffraction data from C. elegan PCH-2, source of 4XGU structure"
21,anomalous,SAD,4XGU,0.9795,,X-Ray Diffraction,"X-Ray Diffraction data from C. elegans PCH-2 SeMet, source of 4XGU structure"
26,anomalous,SAD,3N4R,0.97182,,X-Ray Diffraction,"X-Ray Diffraction data from S. cerevisiae Csm1 69-190 L157M mutant, Selenomethionine-labeled, source of 3N4R structure"
62,anomalous,INITIAL SAD PLUS MULTIPLE HA SITE REFINEMENT,4ILD,,,X-Ray Diffraction,"X-Ray Diffraction data from Glycoprotein E2 from bovine viral diarrhea virus, source of 4ILD structure"
73,anomalous,MAD,4MLM,"0.9794, 0.9796, 0.9778",,X-Ray Diffraction,"X-Ray Diffraction data from PhnZ from uncultured HF130_AEPn_1, source of 4MLM structure"
74,anomalous,SIRAS,2Y8G,,NONE,X-Ray Diffraction,"X-Ray Diffraction data from Ran-binding domain of human RanBP3 (E352A/R353V mutant), source of 2Y8G structure"
78,anomalous,"SAD, MOLECULAR REPLACEMENT",3QCW,,,X-Ray Diffraction,"X-Ray Diffraction data from neurexin 1alpha extracellular domain, source of 3QCW structure"
83,anomalous,SIRAS,4XC6,0.9795,,X-Ray Diffraction,"X-Ray Diffraction data from Isobutyryl-coenzyme A mutase fused with bound adenosylcobalamin, GDP, and Mg (holo-IcmF/GDP), source of 4XC6 structure"
85,anomalous,MAD,2AEX,"0.9537, 0.9795, 0.9796",,X-Ray Diffraction,"X-Ray Diffraction data from Human Coproporphyrinogen Oxidase, source of 2AEX structure"
91,anomalous,MAD,1XBN,"1.7403,1.7379,1.6241,1.1159",,X-Ray Diffraction,"X-Ray Diffraction data from Thermoanaerobacter tengcongensis SONO (H-NOX) in complex with dioxygen, source of 1XBN structure"
96,anomalous,MAD,1XBN,"1.7403,1.7379,1.6241,1.1159",,X-Ray Diffraction,"X-Ray Diffraction data from Thermoanaerobacter tengcongensis SONO (H-NOX) in complex with dioxygen, source of 1XBN structure"
97,anomalous,MAD,1XBN,"1.7403,1.7379,1.6241,1.1159",,X-Ray Diffraction,"X-Ray Diffraction data from Thermoanaerobacter tengcongensis SONO (H-NOX) in complex with dioxygen, source of 1XBN structure"
112,anomalous,"MOLECULAR REPLACEMENT, SAD",4LCK,0.9793;0.9793;0.9793;0.9793,PDB ENTRIES 3L0U and 3V7E,X-Ray Diffraction,"X-Ray Diffraction data from T-box ribozyme-tRNA complex, source of 4LCK structure"
116,anomalous,SAD,3T0Y,0.979,,X-Ray Diffraction,"X-Ray Diffraction data from Caulobacter PhyR sigma-like domain in complex with NepR, source of 3T0Y structure"
120,anomalous,SAD,2GUM,0.97944,,X-Ray Diffraction,"X-Ray Diffraction data from HSV-1 glycoprotein B, source of 2GUM structure"
121,anomalous,SAD,3M1C,,,X-Ray Diffraction,"X-Ray Diffraction data from HSV-2 gH/gL complex, source of 3M1C structure"
122,anomalous,SAD,2GUM,0.97944,,X-Ray Diffraction,"X-Ray Diffraction data from HSV-1 glycoprotein B, source of 2GUM structure"
123,anomalous,SAD,3M1C,,,X-Ray Diffraction,"X-Ray Diffraction data from HSV-2 gH/gL complex, source of 3M1C structure"
124,anomalous,SAD,4PKF,1.0000,,X-Ray Diffraction,"X-Ray Diffraction data from Benzylsuccinate synthase alpha-beta-gamma complex, source of 4PKF structure"
129,anomalous,SIRAS,4S0N,0.97872,,X-Ray Diffraction,"X-Ray Diffraction data from human HLTF HIRAN domain in complex with DNA, source of 4S0N structure"
130,anomalous,SIRAS,4S0N,0.97872,,X-Ray Diffraction,"X-Ray Diffraction data from human HLTF HIRAN domain in complex with DNA, source of 4S0N structure"
133,anomalous,SAD,1V9Z,0.90,,X-Ray Diffraction,"X-Ray Diffraction data from DOS, source of 1V9Z structure"
134,anomalous,SAD,1V9Z,0.90,,X-Ray Diffraction,"X-Ray Diffraction data from Escherichia coli DOS, source of 1V9Z structure"
135,anomalous,SAD,1V9Z,0.90,,X-Ray Diffraction,"X-Ray Diffraction data from Escherichia coli DOS reduced with dithionite and treated with nitric oxide, source of 1V9Z structure"
136,anomalous,SAD,1V9Z,0.90,,X-Ray Diffraction,"X-Ray Diffraction data from Escherichia coli DOS, source of 1V9Z structure"
137,anomalous,SAD,1V9Z,0.90,,X-Ray Diffraction,"X-Ray Diffraction data from Escherichia coli DOS Br complex, source of 1V9Z structure"
138,anomalous,SAD,1V9Y,0.71,,X-Ray Diffraction,"X-Ray Diffraction data from Escherichia coli DOS, source of 1V9Y structure"
140,anomalous,SAD,4U4H,1.0,,X-Ray Diffraction,"X-Ray Diffraction data from HSV-1 UL21 N-terminal domain, source of 4U4H structure"
141,anomalous,SAD,4U4H,1.0,,X-Ray Diffraction,"X-Ray Diffraction data from HSV-1 UL21 N-terminal domain, source of 4U4H structure"
151,anomalous,SAD,4XH0,0.9792,,X-Ray Diffraction,"X-Ray Diffraction data from C. glabrata Hrr25, source of 4XH0 structure"
166,anomalous,SAD,5DGK,0.9793,,X-Ray Diffraction,"X-Ray Diffraction data from SCCmecIV Cch in complex with AMPPNP and Mg, source of 5DGK structure"
167,anomalous,SAD,4YD8,0.97918,,X-Ray Diffraction,"X-Ray Diffraction data from  Bardet-Biedl Syndrome 9 Protein (aa1-407), Homo sapiens, source of 4YD8 structure"
175,anomalous,SAD,4YCZ,0.97890,,X-Ray Diffraction,"X-Ray Diffraction data from Y-COMPLEX HUB (NUP85-NUP120-NUP145C-SEC13 COMPLEX) FROM M. THERMOPHILA (A.K.A. T. HETEROTHALLICA), source of 4YCZ structure"
177,anomalous,SAD,4PH3,1.5418,,X-Ray Diffraction,"X-Ray Diffraction data from capsid protein (N-terminal domain) from Bovine Leukemia Virus, source of 4PH3 structure"
181,anomalous,SAD,4FHM,0.9792,,X-Ray Diffraction,"X-Ray Diffraction data from Nup37-Nup120(aa1-961) complex from Schizosaccharomyces pombe, source of 4FHM structure"
182,anomalous,SAD,4FHM,0.9792,,X-Ray Diffraction,"X-Ray Diffraction data from Nup37-Nup120(aa1-961) complex from Schizosaccharomyces pombe, source of 4FHM structure"
188,anomalous,SAD,4Z3U,0.979200,,X-Ray Diffraction,"X-Ray Diffraction data from PRV NEC, source of 4Z3U structure"
198,anomalous,SAD,5CEG,0.97857,,X-Ray Diffraction,"X-Ray Diffraction data from Mesorhizobium opportunistum ParD3 antitoxin bound to ParE3 toxin, source of 5CEG structure"
199,anomalous,SAD,5C50,1.07207,,X-Ray Diffraction,"X-Ray Diffraction data from the complex of human Atg101-Atg13 HORMA domain, source of 5C50 structure"
200,anomalous,SAD,5C50,1.07207,,X-Ray Diffraction,"X-Ray Diffraction data from the complex of human Atg101-Atg13 HORMA domain, source of 5C50 structure"
218,anomalous,"SAD, MOLECULAR REPLACEMENT",3QCW,,,X-Ray Diffraction,"X-Ray Diffraction data from selenomethionyl neurexin 1alpha ectodomain, source of 3QCW structure"
219,anomalous,SAD,4YGA,0.97920,,X-Ray Diffraction,"X-Ray Diffraction data from CDPK1, from Toxoplasma gondii, bound to inhibitory VHH-1B7 , source of 4YGA structure"
220,anomalous,SAD,4YGA,0.97920,,X-Ray Diffraction,"X-Ray Diffraction data from CDPK1, from Toxoplasma gondii, bound to inhibitory VHH-1B7, source of 4YGA structure"
233,anomalous,SAD,5HAS,.987,,X-Ray Diffraction,"X-Ray Diffraction data from Sec7 (T. terrestris) DCB/HUS domain, source of 5HAS structure"
234,anomalous,SAD,5HAS,.987,,X-Ray Diffraction,"X-Ray Diffraction data from Sec7 (T. terrestris) DCB/HUS domain, source of 5HAS structure"
241,anomalous,SAD,5EQ2,0.979;1.140,,X-Ray Diffraction,"X-Ray Diffraction data from SrpA, source of 5EQ2 structure"
254,anomalous,MAD,5EO9,0.97945,,X-Ray Diffraction,"X-Ray Diffraction data from Drosophila Dpr6 D1 bound to DIPalpha D1+D2, source of 5EO9 structure"
346,anomalous,SAD,5K7M,0.97934,,X-Ray Diffraction,"X-Ray Diffraction data from Catalytic domains of Human Mettl3/Mettl14 complex, source of 5K7M structure"
348,anomalous,SAD,5K7U,0.97934,,X-Ray Diffraction,"X-Ray Diffraction data from Catalytic domains of Human Mettl3/Mettl14 complex with SAM, source of 5K7U structure"
349,anomalous,SAD,5K7W,0.97934,,X-Ray Diffraction,"X-Ray Diffraction data from Catalytic domains of Human Mettl3/Mettl14 complex with SAH, source of 5K7W structure"
357,anomalous,SAD,5SZB,0.97946,,X-Ray Diffraction,"X-Ray Diffraction data from Human Dpf3 double-PHD domain bound to histone H3 tail peptide with acetylated K14, source of 5SZB structure"
358,anomalous,SAD,5SZB,0.97946,,X-Ray Diffraction,"X-Ray Diffraction data from Human Dpf3 double-PHD domain bound to histone H3 tail peptide with acetylated K14, source of 5SZB structure"
413,anomalous,SAD,5UBD,0.979,,X-Ray Diffraction,"X-Ray Diffraction data from RctB-1-124-L48M, source of 5UBD structure"
414,anomalous,SAD,5UBF,0.9792,,X-Ray Diffraction,"X-Ray Diffraction data from RctB-155-483, source of 5UBF structure"
421,anomalous,SAD,5KVM,1.033,,X-Ray Diffraction,"X-Ray Diffraction data from Extracellular region of mouse GPR56/ADGRG1 in complex with FN3 monobody, source of 5KVM structure"
444,anomalous,SAD,5UC0,0.9796,,X-Ray Diffraction,"X-Ray Diffraction data from Brucella abortus Bab1_1612 (DUF1134/COG5400), source of 5UC0 structure"
445,anomalous,SAD,6NTR,0.97929,,X-Ray Diffraction,"X-Ray Diffraction data from Brucella abortus bab1_1186 (DUF1849), source of 6NTR structure"
451,anomalous,MAD,5UTK,"1.04, 0.97944, 0.97927, 0.94928",,X-Ray Diffraction,"X-Ray Diffraction data from human Tie2 FNIII domains, source of 5UTK structure"
465,anomalous,MAD,5OHZ,"0.97909, 0.97924",,X-Ray Diffraction,"X-Ray Diffraction data from Mycobacterial glucosylglycerate hydrolase - Se-Met derivative, source of 5OHZ structure"
